City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Coro,VE,2021-10-21 03:58:15,11.4045,-69.6734,79.38,85,14,10.09
1,Bredasdorp,ZA,2021-10-21 03:58:16,-34.5322,20.0403,56.28,96,61,3.6
2,Iquitos,PE,2021-10-21 03:58:16,-3.7481,-73.2472,75.24,94,0,1.14
3,Port Elizabeth,ZA,2021-10-21 03:58:17,-33.918,25.5701,59.29,94,20,4.61
4,Albany,US,2021-10-21 03:55:32,42.6001,-73.9662,61.52,75,35,4.61
5,Outjo,NA,2021-10-21 03:58:17,-20.1167,16.15,63.14,49,13,4.61
6,Tautira,PF,2021-10-21 04:02:05,-17.7333,-149.15,73.42,79,80,11.83
7,Kuusamo,FI,2021-10-21 03:58:18,65.9667,29.1833,28.44,93,90,9.22
8,Hobart,AU,2021-10-21 03:58:19,-42.8794,147.3294,74.01,42,40,4.0
9,Isangel,VU,2021-10-21 04:02:53,-19.55,169.2667,76.42,92,100,15.61
10,Payo,ID,2021-10-21 03:58:20,-3.7508,103.6372,88.54,61,64,2.75
11,Faanui,PF,2021-10-21 03:59:23,-16.4833,-151.75,79.34,77,8,6.13
12,Pisco,PE,2021-10-21 04:00:35,-13.7,-76.2167,61.02,91,100,2.35
13,Atuona,PF,2021-10-21 03:58:22,-9.8,-139.0333,77.76,79,6,18.45
14,Port Lincoln,AU,2021-10-21 03:58:22,-34.7333,135.8667,67.93,54,1,12.46
15,Mataura,NZ,2021-10-21 03:58:23,-46.1927,168.8643,58.08,42,3,5.12
16,Santa Rosa,PH,2021-10-21 04:02:04,14.3122,121.1114,89.11,74,96,3.67
17,Kamskiye Polyany,RU,2021-10-21 03:58:24,55.4307,51.4171,32.81,93,100,7.67
18,Kapaa,US,2021-10-21 03:56:01,22.0752,-159.319,80.58,75,5,9.73
19,Nossa Senhora Das Dores,BR,2021-10-21 03:58:25,-10.4917,-37.1933,76.68,97,20,4.41
20,Chimbote,PE,2021-10-21 03:54:58,-9.0853,-78.5783,62.55,89,88,7.87
21,Berdigestyakh,RU,2021-10-21 04:03:14,62.0989,126.6992,31.3,84,100,7.63
22,Saldanha,ZA,2021-10-21 03:58:26,-33.0117,17.9442,59.05,92,69,14.52
23,Peniche,PT,2021-10-21 03:58:26,39.3558,-9.3811,66.56,94,35,10.98
24,Puerto Ayora,EC,2021-10-21 03:58:27,-0.7393,-90.3518,69.76,89,89,5.99
25,Plataria,GR,2021-10-21 03:58:27,39.4525,20.2761,53.47,80,1,3.29
26,Ushuaia,AR,2021-10-21 03:58:28,-54.8,-68.3,46.06,42,40,16.11
27,Solnechnyy,RU,2021-10-21 04:03:16,50.7214,136.6319,37.4,50,40,4.81
28,Nam Dinh,VN,2021-10-21 03:58:29,20.4167,106.1667,79.57,79,48,7.23
29,Husavik,IS,2021-10-21 04:02:28,66.0449,-17.3389,26.8,66,91,12.48
30,Mahebourg,MU,2021-10-21 03:58:30,-20.4081,57.7,77.25,78,40,10.36
31,Abu Samrah,SY,2021-10-21 04:02:25,35.3029,37.1841,59.74,75,0,1.12
32,Rikitea,PF,2021-10-21 03:58:31,-23.1203,-134.9692,74.82,72,63,19.22
33,Hofn,IS,2021-10-21 04:03:12,64.2539,-15.2082,34.86,59,82,12.39
34,Longyearbyen,SJ,2021-10-21 03:58:31,78.2186,15.6401,12.04,67,20,10.36
35,Hermanus,ZA,2021-10-21 03:58:32,-34.4187,19.2345,59.9,81,24,2.37
36,Aykhal,RU,2021-10-21 03:58:32,66.0,111.5,35.06,95,100,25.66
37,Mar Del Plata,AR,2021-10-21 03:56:48,-38.0023,-57.5575,55.99,100,0,5.75
38,Ibra,OM,2021-10-21 03:58:33,22.6906,58.5334,75.2,62,48,3.76
39,Khatanga,RU,2021-10-21 03:58:34,71.9667,102.5,24.82,97,100,3.11
40,Touros,BR,2021-10-21 04:03:19,-5.1989,-35.4608,77.32,83,68,6.22
41,Port Blair,IN,2021-10-21 03:58:34,11.6667,92.75,86.04,89,40,5.75
42,Carauari,BR,2021-10-21 03:58:35,-4.8828,-66.8958,72.93,99,100,2.57
43,Castro,BR,2021-10-21 04:03:14,-24.7911,-50.0119,48.4,99,20,6.8
44,Cherskiy,RU,2021-10-21 03:58:35,68.75,161.3,-2.69,100,99,5.68
45,Vaini,TO,2021-10-21 03:58:36,-21.2,-175.2,74.25,67,91,17.94
46,Barrow,US,2021-10-21 03:58:36,71.2906,-156.7887,26.04,91,98,18.88
47,Yar-Sale,RU,2021-10-21 04:03:21,66.8333,70.8333,28.87,83,23,6.58
48,Yerbogachen,RU,2021-10-21 03:58:37,61.2767,108.0108,39.97,77,100,10.94
49,Cape Town,ZA,2021-10-21 03:57:44,-33.9258,18.4232,60.12,70,0,13.8
50,Borogontsy,RU,2021-10-21 03:58:38,62.6683,131.1683,21.07,83,97,4.7
51,Dalvik,IS,2021-10-21 03:58:38,65.9702,-18.5286,31.93,77,85,8.81
52,Bluff,NZ,2021-10-21 03:58:39,-46.6,168.3333,49.06,63,11,12.77
53,Kirakira,SB,2021-10-21 04:03:23,-10.4544,161.9205,82.8,75,79,4.61
